repo_id,repo_name,repo_url,actor_id,actor_login,actor_avatar_url,actor_url,org_id,org_login,org_url,commits,html_url,forked,description,full_name,lang,watchers,forks_count
81097962,PrincetonUniversity/COS461-Public,https://api.github.com/repos/PrincetonUniversity/COS461-Public,2059692,maltemoeser,https://avatars.githubusercontent.com/u/2059692?,https://api.github.com/users/maltemoeser,1919273,PrincetonUniversity,https://api.github.com/orgs/PrincetonUniversity,35,https://github.com/PrincetonUniversity/COS461-Public,false,Princeton University COS 461: Computer Networks,PrincetonUniversity/COS461-Public,Go,10,12
124567971,blockstack/blockstack-ios,https://api.github.com/repos/blockstack/blockstack-ios,29081231,yknl,https://avatars.githubusercontent.com/u/29081231?,https://api.github.com/users/yknl,8165984,blockstack,https://api.github.com/orgs/blockstack,37,https://github.com/blockstack/blockstack-ios,false,"The Blockstack iOS library for identity, auth and storage",blockstack/blockstack-ios,JavaScript,15,6
72248548,Creepsky/creepMiner,https://api.github.com/repos/Creepsky/creepMiner,541890,nitr8,https://avatars.githubusercontent.com/u/541890?,https://api.github.com/users/nitr8,,,,98,https://github.com/Creepsky/creepMiner,false,Burstcoin C++ CPU and GPU Miner,Creepsky/creepMiner,C++,146,58
46682203,segabito/ZenzaWatch,https://api.github.com/repos/segabito/ZenzaWatch,2265873,segabito,https://avatars.githubusercontent.com/u/2265873?,https://api.github.com/users/segabito,,,,40,https://github.com/segabito/ZenzaWatch,false,HTML5の何か,segabito/ZenzaWatch,HTML,68,8
66857063,dhidas/OSCARS,https://api.github.com/repos/dhidas/OSCARS,5774032,dhidas,https://avatars.githubusercontent.com/u/5774032?,https://api.github.com/users/dhidas,,,,232,https://github.com/dhidas/OSCARS,false,Open Source Code for Advanced Radiation Simulation,dhidas/OSCARS,C++,2,3
58934207,linode/manager,https://api.github.com/repos/linode/manager,12218651,rjstires,https://avatars.githubusercontent.com/u/12218651?,https://api.github.com/users/rjstires,5184305,linode,https://api.github.com/orgs/linode,257,https://github.com/linode/manager,false,The Linode Manager (Beta),linode/manager,JavaScript,321,68
36101000,zKillboard/zKillboard,https://api.github.com/repos/zKillboard/zKillboard,739285,cvweiss,https://avatars.githubusercontent.com/u/739285?,https://api.github.com/users/cvweiss,10120580,zKillboard,https://api.github.com/orgs/zKillboard,234,https://github.com/zKillboard/zKillboard,false,Easy does it,zKillboard/zKillboard,HTML,133,45
14566587,snoyberg/tar-conduit,https://api.github.com/repos/snoyberg/tar-conduit,2333894,lehins,https://avatars.githubusercontent.com/u/2333894?,https://api.github.com/users/lehins,,,,53,https://github.com/snoyberg/tar-conduit,false,Conduit based tar extraction mechanism,snoyberg/tar-conduit,Haskell,5,6
70486261,ReClassNET/ReClass.NET,https://api.github.com/repos/ReClassNET/ReClass.NET,1666336,KN4CK3R,https://avatars.githubusercontent.com/u/1666336?,https://api.github.com/users/KN4CK3R,36203059,ReClassNET,https://api.github.com/orgs/ReClassNET,32,https://github.com/KN4CK3R/ReClass.NET,false,Not just a ReClass port to the .NET platform.,KN4CK3R/ReClass.NET,C#,126,35
107341368,luchengLC/guideForBeauty,https://api.github.com/repos/luchengLC/guideForBeauty,18641060,luchengLC,https://avatars.githubusercontent.com/u/18641060?,https://api.github.com/users/luchengLC,,,,45,https://github.com/luchengLC/guideForBeauty,false,,luchengLC/guideForBeauty,Python,0,3
95797174,Polymer/lit-html,https://api.github.com/repos/Polymer/lit-html,522948,justinfagnani,https://avatars.githubusercontent.com/u/522948?,https://api.github.com/users/justinfagnani,2159051,Polymer,https://api.github.com/orgs/Polymer,74,https://github.com/Polymer/lit-html,false,HTML template literals in JavaScript,Polymer/lit-html,TypeScript,2536,131
